,Time,T_comp(ºC),T_evap (ºC),T_cond (ºC),Tint-Text (ºC),T_air,T_ext,T_int
83,2019-11-07 07:08:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
84,2019-11-07 07:08:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
85,2019-11-07 07:08:30,39.98904761904765,37.9347619047619,9.668095238095248,10.0,49.98904761904765,19.668095238095248,47.9347619047619
86,2019-11-07 07:08:36,46.0109523809524,32.0652380952381,9.668095238095248,10.0,56.0109523809524,19.668095238095248,42.0652380952381
87,2019-11-07 07:08:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
88,2019-11-07 07:08:48,44.5054761904762,33.53261904761905,8.334047619047624,10.0,54.5054761904762,18.334047619047624,43.53261904761905
89,2019-11-07 07:08:54,46.0109523809524,37.9347619047619,9.668095238095248,10.0,56.0109523809524,19.668095238095248,47.9347619047619
90,2019-11-07 07:09:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
91,2019-11-07 07:09:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
92,2019-11-07 07:09:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
93,2019-11-07 07:09:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
94,2019-11-07 07:09:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
95,2019-11-07 07:09:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
96,2019-11-07 07:09:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
97,2019-11-07 07:09:42,44.5054761904762,33.53261904761905,8.334047619047624,10.0,54.5054761904762,18.334047619047624,43.53261904761905
98,2019-11-07 07:09:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
99,2019-11-07 07:09:54,44.5054761904762,36.46738095238095,8.334047619047624,10.0,54.5054761904762,18.334047619047624,46.46738095238095
100,2019-11-07 07:10:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
101,2019-11-07 07:10:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
102,2019-11-07 07:10:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
103,2019-11-07 07:10:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
104,2019-11-07 07:10:24,41.4945238095238,33.53261904761905,5.665952380952376,10.0,51.4945238095238,15.665952380952376,43.53261904761905
105,2019-11-07 07:10:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
106,2019-11-07 07:10:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
107,2019-11-07 07:10:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
108,2019-11-07 07:10:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
109,2019-11-07 07:10:54,41.4945238095238,33.53261904761905,5.665952380952376,10.0,51.4945238095238,15.665952380952376,43.53261904761905
110,2019-11-07 07:11:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
111,2019-11-07 07:11:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
112,2019-11-07 07:11:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
113,2019-11-07 07:11:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
114,2019-11-07 07:11:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
115,2019-11-07 07:11:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
116,2019-11-07 07:11:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
117,2019-11-07 07:11:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
